court,year,count
bcsc,1990,170
bcsc,1991,215
bcsc,1992,225
bcsc,1993,199
bcsc,1994,229
bcsc,1995,259
bcsc,1996,246
bcsc,1997,344
bcsc,1998,309
bcsc,1999,251
bcsc,2000,873
bcsc,2001,903
bcsc,2002,922
bcsc,2003,998
bcsc,2004,939
bcsc,2005,1031
bcsc,2006,1114
bcsc,2007,1098
bcsc,2008,1133
bcsc,2009,1163
bcsc,2010,1124
bcsc,2011,1063
bcsc,2012,1154
bcsc,2013,1190
bcsc,2014,1208
bcsc,2015,1029
bcsc,2016,903
bcsc,2017,777
bcsc,2018,583
bcsc,2019,265
bcsc,2020,53
fca,1997,312
fca,1998,351
fca,1999,328
fca,2000,488
fca,2001,438
fca,2002,501
fca,2003,471
fca,2004,436
fca,2005,430
fca,2006,415
fca,2007,404
fca,2008,406
fca,2009,333
fca,2010,319
fca,2011,324
fca,2012,289
fca,2013,257
fca,2014,248
fca,2015,243
fca,2016,279
fca,2017,229
fca,2018,192
fca,2019,236
fca,2020,172
onca,1994,459
onca,1995,426
onca,1996,557
onca,1997,689
onca,1998,810
onca,1999,821
onca,2000,651
onca,2001,640
onca,2002,644
onca,2003,851
onca,2004,996
onca,2005,897
onca,2006,909
onca,2007,901
onca,2008,881
onca,2009,924
onca,2010,883
onca,2011,815
onca,2012,916
onca,2013,771
onca,2014,883
onca,2015,917
onca,2016,987
onca,2017,1003
onca,2018,1050
onca,2019,1025
onca,2020,839
qccs,2002,615
qccs,2003,626
qccs,2004,574
qccs,2005,512
qccs,2006,856
qccs,2007,861
qccs,2008,858
qccs,2009,934
qccs,2010,948
qccs,2011,910
qccs,2012,977
qccs,2013,872
qccs,2014,910
qccs,2015,891
qccs,2016,957
qccs,2017,821
qccs,2018,626
qccs,2019,375
qccs,2020,145
scc,1877,18
scc,1878,21
scc,1879,34
scc,1880,22
scc,1881,28
scc,1882,22
scc,1883,37
scc,1884,34
scc,1885,45
scc,1886,58
scc,1887,44
scc,1888,43
scc,1889,55
scc,1890,47
scc,1891,71
scc,1892,93
scc,1893,54
scc,1894,70
scc,1895,106
scc,1896,70
scc,1897,80
scc,1898,72
scc,1899,70
scc,1900,66
scc,1901,64
scc,1902,79
scc,1903,70
scc,1904,72
scc,1905,82
scc,1906,72
scc,1907,82
scc,1908,77
scc,1909,65
scc,1910,66
scc,1911,63
scc,1912,75
scc,1913,85
scc,1914,80
scc,1915,98
scc,1916,113
scc,1917,109
scc,1918,119
scc,1919,105
scc,1920,95
scc,1921,91
scc,1922,78
scc,1923,60
scc,1924,74
scc,1925,83
scc,1926,76
scc,1927,99
scc,1928,98
scc,1929,90
scc,1930,83
scc,1931,86
scc,1932,72
scc,1933,85
scc,1934,84
scc,1935,56
scc,1936,55
scc,1937,61
scc,1938,52
scc,1939,51
scc,1940,68
scc,1941,60
scc,1942,48
scc,1943,64
scc,1944,60
scc,1945,50
scc,1946,50
scc,1947,43
scc,1948,54
scc,1949,65
scc,1950,58
scc,1951,53
scc,1952,60
scc,1953,72
scc,1954,71
scc,1955,83
scc,1956,87
scc,1957,75
scc,1958,77
scc,1959,95
scc,1960,83
scc,1961,92
scc,1962,90
scc,1963,100
scc,1964,84
scc,1965,81
scc,1966,73
scc,1967,96
scc,1968,113
scc,1969,91
scc,1970,112
scc,1971,121
scc,1972,112
scc,1973,126
scc,1974,132
scc,1975,125
scc,1976,118
scc,1977,128
scc,1978,118
scc,1979,140
scc,1980,112
scc,1981,111
scc,1982,125
scc,1983,91
scc,1984,63
scc,1985,88
scc,1986,79
scc,1987,98
scc,1988,107
scc,1989,133
scc,1990,143
scc,1991,108
scc,1992,109
scc,1993,138
scc,1994,112
scc,1995,108
scc,1996,121
scc,1997,113
scc,1998,91
scc,1999,81
scc,2000,69
scc,2001,94
scc,2002,86
scc,2003,76
scc,2004,83
scc,2005,86
scc,2006,59
scc,2007,54
scc,2008,73
scc,2009,62
scc,2010,67
scc,2011,66
scc,2012,75
scc,2013,75
scc,2014,78
scc,2015,69
scc,2016,57
scc,2017,65
scc,2018,60
scc,2019,68
scc,2020,47
