dst_court,avg_age
abac,10
cisr,3
crac,1
mbcc,17
nbapab,7
nbcssiat,1
nbcte,12
nlla,1
nuyc,3
oncfsrb,2
qcamf,8
qcoifq,10
qcrdl,1
skfca,0
tcce,4
