dst_importance,count
0.438220489833791,6838
0.00253847927556627,213
0.00136547950888117,123
0.0014916472462243,121
0.165405699962141,2105
0.164252165442263,3005
0.00103242799313526,125
0.00292660175100826,172
0.0015486247614953,146
0.000381212522428222,151
0.00202441598598122,145
0.00110328991141272,133
0.00189838977160065,379
0.102091753010825,1378
0.0973559533523853,4355
0.0909831306762955,1848
0.00332478004427985,211
0.088392796352928,2231
0.00089315425504633,63
0.00114827859612536,82
0.0843291751779898,1694
0.00215143785793836,196
0.000720834068056347,38
0.000389624449327978,25
0.0782228727850412,937
0.000232156119066708,34
0.0727408796165627,1784
2.94061873079768e-05,14
0.000527717013366285,19
0.0706444952369926,2335
0.00131742998035502,109
0.0694255489336702,1201
0.068627341857129,1711
0.0650045399187937,1253
1.96694971370244e-05,5
0.0611327885190776,1098
3.80320979418658e-05,21
0.058476110169977,1694
0.00268570704627999,499
0.000859760576661879,67
0.00106212056730988,137
0.0542185751666256,1061
0.000194834035238497,41
1.94311328791804e-05,5
0.00123726543758206,140
0.0521420094406411,625
0.0515375174976963,593
0.000222513200015524,86
0.049378783076421,718
0.0491175774021699,1035
0.000781999671140846,68
7.65620671607651e-05,55
0.00137973178379691,120
0.00359953183784651,460
0.0480379085897893,3611
1.93775116124503e-05,6
0.000279137430960175,93
0.000315656526422173,109
0.047357476085437,1513
1.95920294735004e-05,4
0.00102026695559399,75
0.0460036679152789,1094
0.000298824698176383,94
0.0449969943733147,969
0.000968358498510187,61
0.00132403736576206,63
1.00147805503905e-05,15
0.0441706465159269,786
0.0440512580404357,601
7.01391545898062e-05,50
0.000428390296220825,60
7.90264793512941e-05,5
8.05608980046364e-05,3
0.000368415708958176,74
0.000128178504471397,5
0.0414849781844665,1127
0.041197572749081,204
0.0410069010552043,975
4.94724526575707e-05,22
0.000934617392253517,87
7.73262771326334e-05,11
0.0392298081737364,546
0.0391711730954364,1119
0.000210710864232207,29
0.0375388948901117,838
0.0390122426161442,365
0.0387472947720366,976
0.000473105452880123,40
7.85033217105826e-05,10
3.77134550786265e-05,15
0.00108032079628166,79
0.0380855724212977,329
0.0379553863566891,1204
0.0379426640219181,655
2.03955821526526e-05,9
1.4367722014126e-06,11
0.000360855714207798,35
0.0372506504384566,324
0.000264493892998792,48
0.00804689896049066,236
0.0361292587419379,3621
0.0361126856890974,495
0.00111822180871769,123
0.00100228216659273,109
4.78283032301412e-05,34
8.68620725235676e-05,26
0.000129848687052629,50
0.0356224910178079,538
9.26050699489801e-06,11
3.04049983347392e-05,5
1.9226401937529e-05,2
0.0352671500545,793
0.0352624600188983,776
7.41642105170738e-06,3
1.87218778374329e-05,19
0.0348223374164102,1456
7.51856989997463e-05,32
0.0348540575173543,494
9.02053478308808e-05,30
8.00362476409783e-06,4
0.000137924141920341,39
0.0344928044510451,889
0.000891390887185294,40
0.0341080853926304,399
0.0338417824774702,507
0.000189493564639797,8
0.00023694578177007,45
0.0334288988735328,570
0.0333314637728528,717
0.0332734396186756,425
0.0329116010225954,903
0.032854903356745,781
0.032822183091905,375
0.0323133352068625,520
0.0322903131208583,872
8.93687959045881e-05,1
0.0319489787061938,1675
0.0317894517005778,396
0.0317884017197387,569
5.95091001952259e-06,5
0.000514537396598737,36
