src_year,dst_jurisdiction,count
1980,ab,26
1980,bc,47
1980,mb,36
1980,nb,5
1980,ns,7
1980,nt,1
1980,on,114
1980,pe,1
1980,qc,15
1980,sk,16
1981,ab,22
1981,bc,25
1981,mb,18
1981,nb,6
1981,nl,2
1981,ns,8
1981,nt,1
1981,on,83
1981,pe,1
1981,qc,11
1981,sk,7
1981,yk,1
1982,ab,29
1982,bc,45
1982,mb,18
1982,nb,5
1982,nl,4
1982,ns,11
1982,nt,1
1982,on,115
1982,pe,4
1982,qc,17
1982,sk,19
1983,ab,26
1983,bc,64
1983,mb,17
1983,nb,11
1983,nl,1
1983,ns,12
1983,on,115
1983,pe,1
1983,qc,23
1983,sk,12
1984,ab,36
1984,bc,54
1984,mb,15
1984,nb,9
1984,nl,2
1984,ns,7
1984,nt,1
1984,on,94
1984,pe,1
1984,qc,24
1984,sk,20
1985,ab,41
1985,bc,60
1985,mb,33
1985,nb,12
1985,nl,3
1985,ns,15
1985,nt,5
1985,on,122
1985,pe,3
1985,qc,21
1985,sk,20
1986,ab,35
1986,bc,76
1986,mb,33
1986,nb,23
1986,nl,2
1986,ns,19
1986,nt,2
1986,on,140
1986,pe,5
1986,qc,25
1986,sk,23
1986,yk,1
1987,ab,39
1987,bc,73
1987,mb,38
1987,nb,11
1987,nl,4
1987,ns,16
1987,nt,4
1987,on,187
1987,pe,2
1987,qc,21
1987,sk,29
1987,yk,3
1988,ab,47
1988,bc,84
1988,mb,25
1988,nb,20
1988,nl,3
1988,ns,16
1988,nt,1
1988,on,163
1988,pe,6
1988,qc,47
1988,sk,28
1989,ab,57
1989,bc,98
1989,mb,50
1989,nb,18
1989,nl,12
1989,ns,14
1989,nt,2
1989,on,167
1989,pe,2
1989,qc,33
1989,sk,31
1989,yk,1
1990,ab,60
1990,bc,115
1990,mb,51
1990,nb,16
1990,nl,7
1990,ns,28
1990,nt,4
1990,on,273
1990,pe,8
1990,qc,46
1990,sk,46
1990,yk,1
1991,ab,32
1991,bc,55
1991,mb,29
1991,nb,6
1991,nl,3
1991,ns,13
1991,nt,2
1991,on,102
1991,pe,2
1991,qc,35
1991,sk,9
1991,yk,2
1992,ab,36
1992,bc,67
1992,mb,27
1992,nb,10
1992,nl,4
1992,ns,18
1992,nt,2
1992,on,159
1992,pe,8
1992,qc,75
1992,sk,16
1993,ab,54
1993,bc,111
1993,mb,36
1993,nb,26
1993,nl,14
1993,ns,28
1993,nt,2
1993,on,239
1993,pe,11
1993,qc,45
1993,sk,33
1994,ab,53
1994,bc,101
1994,mb,30
1994,nb,11
1994,nl,4
1994,ns,24
1994,nt,3
1994,on,219
1994,pe,8
1994,qc,31
1994,sk,34
1994,yk,1
1995,ab,48
1995,bc,102
1995,mb,28
1995,nb,23
1995,nl,15
1995,ns,32
1995,on,192
1995,pe,6
1995,qc,25
1995,sk,38
1995,yk,1
1996,ab,53
1996,bc,112
1996,mb,26
1996,nb,27
1996,nl,13
1996,ns,20
1996,nt,4
1996,on,159
1996,pe,3
1996,qc,76
1996,sk,45
1996,yk,4
1997,ab,71
1997,bc,98
1997,mb,36
1997,nb,23
1997,nl,9
1997,ns,18
1997,nt,4
1997,on,152
1997,pe,3
1997,qc,41
1997,sk,28
1998,ab,28
1998,bc,63
1998,mb,15
1998,nb,15
1998,nl,12
1998,ns,23
1998,on,114
1998,pe,3
1998,qc,22
1998,sk,18
1999,ab,37
1999,bc,96
1999,mb,18
1999,nb,17
1999,nl,12
1999,ns,11
1999,nt,2
1999,on,146
1999,pe,1
1999,qc,20
1999,sk,22
2000,ab,31
2000,bc,104
2000,mb,35
2000,nb,16
2000,nl,13
2000,ns,22
2000,nt,1
2000,on,141
2000,pe,4
2000,qc,32
2000,sk,22
2000,yk,2
2001,ab,33
2001,bc,94
2001,mb,21
2001,nb,18
2001,nl,9
2001,ns,12
2001,on,224
2001,pe,3
2001,qc,110
2001,sk,19
2002,ab,61
2002,bc,95
2002,mb,17
2002,nb,18
2002,nl,14
2002,ns,13
2002,on,180
2002,pe,4
2002,qc,64
2002,sk,44
2002,yk,3
2003,ab,45
2003,bc,100
2003,mb,20
2003,nb,11
2003,nl,8
2003,ns,19
2003,on,155
2003,pe,4
2003,qc,39
2003,sk,12
2004,ab,36
2004,bc,79
2004,mb,12
2004,nb,6
2004,nl,9
2004,ns,6
2004,nt,1
2004,on,104
2004,pe,2
2004,qc,85
2004,sk,9
2004,yk,1
2005,ab,33
2005,bc,75
2005,mb,33
2005,nb,17
2005,nl,12
2005,ns,24
2005,nt,2
2005,on,121
2005,pe,3
2005,qc,89
2005,sk,49
2005,yk,1
2006,ab,42
2006,bc,60
2006,mb,19
2006,nb,12
2006,nl,4
2006,ns,10
2006,on,130
2006,pe,1
2006,qc,51
2006,sk,9
2006,yk,1
2007,ab,26
2007,bc,83
2007,mb,15
2007,nb,6
2007,nl,3
2007,ns,5
2007,on,135
2007,pe,1
2007,qc,61
2007,sk,5
2008,ab,53
2008,bc,116
2008,mb,17
2008,nb,14
2008,nl,2
2008,ns,21
2008,nt,1
2008,on,120
2008,pe,1
2008,qc,68
2008,sk,14
2008,yk,3
2009,ab,41
2009,bc,87
2009,mb,25
2009,nb,7
2009,nl,8
2009,ns,13
2009,nu,1
2009,on,163
2009,pe,1
2009,qc,130
2009,sk,15
2010,ab,46
2010,bc,64
2010,mb,4
2010,nb,8
2010,nl,6
2010,ns,8
2010,nt,2
2010,nu,1
2010,on,129
2010,pe,4
2010,qc,77
2010,sk,29
2010,yk,5
2011,ab,49
2011,bc,92
2011,mb,17
2011,nb,3
2011,nl,4
2011,ns,11
2011,on,139
2011,qc,39
