court,year,count
abca,1970,60
abca,1971,86
abca,1972,115
abca,1973,144
abca,1974,121
abca,1975,104
abca,1976,244
abca,1977,329
abca,1978,429
abca,1979,353
abca,1980,378
abca,1981,357
abca,1982,373
abca,1983,333
abca,1984,354
abca,1985,313
abca,1986,265
abca,1987,267
abca,1988,395
abca,1989,336
abca,1990,376
abca,1991,354
abca,1992,367
abca,1993,441
abca,1994,436
abca,1995,524
abca,1996,435
abca,1997,421
abca,1998,428
abca,1999,375
abca,2000,357
abca,2001,318
abca,2002,311
abca,2003,372
abca,2004,417
abca,2005,454
abca,2006,409
abca,2007,426
abca,2008,439
abca,2009,420
abca,2010,411
abca,2011,384
abca,2012,398
abca,2013,443
abca,2014,449
abca,2015,408
abca,2016,413
abca,2017,439
abca,2018,438
abca,2019,508
abca,2020,470
abca,2021,14
abqb,1971,43
abqb,1972,54
abqb,1973,35
abqb,1974,83
abqb,1975,62
abqb,1976,74
abqb,1977,171
abqb,1978,145
abqb,1979,120
abqb,1980,99
abqb,1981,116
abqb,1982,141
abqb,1983,103
abqb,1984,129
abqb,1985,183
abqb,1986,192
abqb,1987,183
abqb,1988,185
abqb,1989,177
abqb,1990,156
abqb,1991,181
abqb,1992,208
abqb,1993,247
abqb,1994,239
abqb,1995,226
abqb,1996,246
abqb,1997,243
abqb,1998,363
abqb,1999,361
abqb,2000,424
abqb,2001,411
abqb,2002,440
abqb,2003,450
abqb,2004,444
abqb,2005,451
abqb,2006,410
abqb,2007,385
abqb,2008,395
abqb,2009,373
abqb,2010,404
abqb,2011,403
abqb,2012,424
abqb,2013,357
abqb,2014,366
abqb,2015,355
abqb,2016,315
abqb,2017,323
abqb,2018,344
abqb,2019,257
abqb,2020,66
bcca,1990,741
bcca,1991,734
bcca,1992,670
bcca,1993,771
bcca,1994,749
bcca,1995,712
bcca,1996,782
bcca,1997,836
bcca,1998,765
bcca,1999,774
bcca,2000,690
bcca,2001,679
bcca,2002,695
bcca,2003,700
bcca,2004,661
bcca,2005,629
bcca,2006,579
bcca,2007,616
bcca,2008,522
bcca,2009,570
bcca,2010,585
bcca,2011,528
bcca,2012,516
bcca,2013,552
bcca,2014,503
bcca,2015,517
bcca,2016,497
bcca,2017,449
bcca,2018,484
bcca,2019,463
bcca,2020,375
bcca,2021,22
bcsc,1990,150
bcsc,1991,188
bcsc,1992,198
bcsc,1993,167
bcsc,1994,208
bcsc,1995,227
bcsc,1996,211
bcsc,1997,283
bcsc,1998,264
bcsc,1999,213
bcsc,2000,741
bcsc,2001,762
bcsc,2002,788
bcsc,2003,873
bcsc,2004,820
bcsc,2005,869
bcsc,2006,965
bcsc,2007,944
bcsc,2008,991
bcsc,2009,977
bcsc,2010,960
bcsc,2011,903
bcsc,2012,949
bcsc,2013,997
bcsc,2014,953
bcsc,2015,824
bcsc,2016,717
bcsc,2017,570
bcsc,2018,468
bcsc,2019,233
bcsc,2020,46
fca,1997,312
fca,1998,351
fca,1999,328
fca,2000,488
fca,2001,438
fca,2002,501
fca,2003,471
fca,2004,436
fca,2005,430
fca,2006,415
fca,2007,404
fca,2008,406
fca,2009,333
fca,2010,319
fca,2011,324
fca,2012,289
fca,2013,257
fca,2014,248
fca,2015,243
fca,2016,279
fca,2017,229
fca,2018,192
fca,2019,236
fca,2020,172
fca,2021,7
nsca,1990,222
nsca,1991,246
nsca,1992,240
nsca,1993,230
nsca,1994,239
nsca,1995,231
nsca,1996,237
nsca,1997,210
nsca,1998,213
nsca,1999,184
nsca,2000,150
nsca,2001,187
nsca,2002,168
nsca,2003,151
nsca,2004,156
nsca,2005,166
nsca,2006,141
nsca,2007,131
nsca,2008,124
nsca,2009,130
nsca,2010,107
nsca,2011,123
nsca,2012,127
nsca,2013,152
nsca,2014,114
nsca,2015,112
nsca,2016,93
nsca,2017,96
nsca,2018,98
nsca,2019,97
nsca,2020,84
nsca,2021,11
onca,1994,459
onca,1995,426
onca,1996,557
onca,1997,689
onca,1998,810
onca,1999,821
onca,2000,651
onca,2001,639
onca,2002,644
onca,2003,851
onca,2004,995
onca,2005,897
onca,2006,909
onca,2007,901
onca,2008,880
onca,2009,924
onca,2010,883
onca,2011,815
onca,2012,915
onca,2013,771
onca,2014,883
onca,2015,917
onca,2016,987
onca,2017,1002
onca,2018,1050
