court,year,sum
abca,1908,5.42355705418109e-07
abca,1909,0.000349317745337478
abca,1910,0.000163461323409474
abca,1911,0.000154517655625272
abca,1912,0.000308330850511656
abca,1913,0.00041114588905601
abca,1914,0.00088856434089894
abca,1915,0.000458461581779285
abca,1916,0.000976965189772506
abca,1917,0.0011675535344328
abca,1918,0.000664456345490441
abca,1919,0.000571485546217469
abca,1920,0.00100774031921465
abca,1921,0.00247822579834003
abca,1922,0.00224903577060259
abca,1923,0.0011139532323565
abca,1924,0.000676565889266479
abca,1925,0.00058118244635186
abca,1926,0.00104656314908279
abca,1927,0.000385810056839762
abca,1928,0.00050091924929802
abca,1929,0.00026297115427288
abca,1930,0.00148035165997143
abca,1931,0.00180734152114736
abca,1932,0.00433614128509974
abca,1933,0.000579239175410876
abca,1934,0.00048549941084107
abca,1935,0.00094868137850287
abca,1936,0.00159517712239468
abca,1937,0.0006262044753005
abca,1938,0.00116732383750325
abca,1939,0.000359435697924396
abca,1940,0.000861260088640215
abca,1941,0.00054854454726685
abca,1942,0.000468237325701966
abca,1943,0.000425524411221573
abca,1944,0.000237116681065098
abca,1945,0.000263548920458205
abca,1946,0.000814364173916841
abca,1947,0.000297418583643785
abca,1948,0.000490443211326999
abca,1949,0.000697560787435194
abca,1950,0.00022383219584933
abca,1951,0.000619749027029198
abca,1952,0.000522850668724556
abca,1953,0.000129650508518435
abca,1954,0.000581744974864889
abca,1955,0.000649322697300135
abca,1956,0.000390144733536937
abca,1957,0.00153939892063626
abca,1958,0.000878520223031447
abca,1959,0.00193613137656713
abca,1960,0.000853243643914496
abca,1961,0.000582239102646558
abca,1962,0.000810826947904748
abca,1963,0.000631867298208164
abca,1964,0.000349516005525916
abca,1965,0.00122622422630994
abca,1966,0.00123100779109336
abca,1967,0.00119388567863264
abca,1968,0.00189689949802586
abca,1969,0.00167058051734478
abca,1970,0.00145710041924411
abca,1971,0.00333911654686037
abca,1972,0.00567128881096536
abca,1973,0.00368453346097826
abca,1974,0.00370341419207047
abca,1975,0.00928720218282622
abca,1976,0.00678065909664825
abca,1977,0.011129147677581
abca,1978,0.013376988782667
abca,1979,0.0143391561735285
abca,1980,0.0129286900849179
abca,1981,0.0181215261615788
abca,1982,0.0204031089071157
abca,1983,0.024670190184872
abca,1984,0.0194721602722411
abca,1985,0.0300822499733159
abca,1986,0.0351002214244547
abca,1987,0.0584046659965156
abca,1988,0.0480718819159612
abca,1989,0.0770232038157401
abca,1990,0.0483865899275639
abca,1991,0.0529672082273478
abca,1992,0.0707036259477098
abca,1993,0.0518105534361175
abca,1994,0.0567374112873425
abca,1995,0.0871551240349657
abca,1996,0.0872799247512284
abca,1997,0.0520901790884605
abca,1998,0.116010100793082
abca,1999,0.0810600763221492
abca,2000,0.12544735934019
abca,2001,0.133709019602963
abca,2002,0.152520300734288
abca,2003,0.229931358699679
abca,2004,0.200083825850495
abca,2005,0.252025408405912
abca,2006,0.251395064352386
abca,2007,0.291500969778834
abca,2008,0.339161802787588
abca,2009,0.360544384356475
abca,2010,0.341205333597926
abca,2011,0.310197058700515
abca,2012,0.356546346578154
abca,2013,0.340935334070747
abca,2014,0.417005047082677
abca,2015,0.348316319889574
abca,2016,0.358952309640434
abca,2017,0.382543174314318
abca,2018,0.302055612866856
abca,2019,0.357005614864562
abca,2020,0.472525810969859
abca,2021,0.00859993074814614
abqb,1907,0.000143250814912107
abqb,1908,0.000241931683681214
abqb,1909,0.000200736108834934
abqb,1910,1.24008904288984e-05
abqb,1911,0.000155929762810793
