year,count
1990,741
1991,734
1992,670
1993,771
1994,749
1995,712
1996,782
1997,836
1998,765
1999,774
2000,690
2001,679
2002,695
2003,700
2004,661
2005,629
2006,579
2007,616
2008,522
2009,570
2010,585
2011,528
2012,516
2013,552
2014,503
2015,517
2016,497
2017,449
2018,484
2019,463
2020,375
2021,22
