year,count
1876,8.8544899063468e-05
1877,0.00118363382142993
1878,0.00200863381333321
1879,0.00302375316583352
1880,0.00715268479810476
1881,0.0015152821600229
1882,0.00116402099568043
1883,0.00112519770404119
1884,0.000640737254654108
1885,0.0020737430421827
1886,0.00263576707059894
1887,0.0018463697513382
1888,0.000986803458343237
1889,0.000669944997858567
1890,0.00147488424116069
1891,0.00220624895814521
1892,0.00104138328392026
1893,0.00109918388718607
1894,0.00260405106199661
1895,0.00287353991420221
1896,0.00268476970164158
1897,0.000994782263800516
1898,0.00157339391665742
1899,0.000722868189532104
1900,0.00162066610614019
1901,0.00106888461803676
1902,0.00191427711598192
1903,0.00346573567582412
1904,0.00256434792527819
1905,0.00340066600609482
1906,0.00126069779634815
1907,0.0041659494243265
1908,0.00226956951568166
1909,0.00420888681260323
1910,0.0028440060510244
1911,0.00174593186205854
1912,0.00750500880169246
1913,0.00243088456286192
1914,0.00355287375956171
1915,0.00434581537891767
1916,0.00293677518397186
1917,0.00558090525902087
1918,0.00292351620988969
1919,0.00696431002358965
1920,0.00466725153683747
1921,0.00435014147779857
1922,0.00531478575840115
1923,0.00596342225701532
1924,0.00492085383298496
1925,0.00633534196439061
1926,0.00385702520186289
1927,0.00412936559213632
1928,0.00426351110858299
1929,0.00869395200558619
1930,0.00682473981478565
1931,0.00626508442014254
1932,0.00485526323745595
1933,0.0118036642757075
1934,0.00670577773098961
1935,0.00377583278822663
1936,0.0090205898905469
1937,0.00424952352056636
1938,0.0261408830688458
1939,0.00620076950209416
1940,0.00604440689290336
1941,0.0142808904288343
1942,0.00583927255980416
1943,0.00677397671257224
1944,0.00500137768574704
1945,0.0091497845544442
1946,0.00545969984539218
1947,0.00953323587231771
1948,0.0184878768305361
1949,0.0114380830695719
1950,0.0243317816432878
1951,0.0200037321988336
1952,0.0129851238740425
1953,0.0330821898871664
1954,0.0209526962800993
1955,0.0212178802765916
1956,0.0248817525617456
1957,0.0350767562911826
1958,0.0138407246436571
1959,0.0372836029905463
1960,0.0274390099186835
1961,0.0142738312417638
1962,0.0135389040234697
1963,0.0204209523670619
1964,0.0193030768868072
1965,0.0206511591078888
1966,0.0251849225297019
1967,0.0212679584591481
1968,0.0248709848081205
1969,0.021684414733376
1970,0.0544204160695043
1971,0.0331080290447985
1972,0.0405293723716581
1973,0.0740430849926499
1974,0.0980389004528612
1975,0.110204024393017
1976,0.120685068643749
1977,0.0730134863704227
1978,0.160014267074072
1979,0.218586876448891
1980,0.110107521218973
1981,0.133641201073201
1982,0.201457386993243
1983,0.115764638407407
1984,0.298412582701198
1985,0.587618910520052
1986,0.463955263402619
1987,0.609297047008257
1988,0.571506663512077
1989,0.796202027809851
1990,1.16206350983062
1991,0.625425292976087
1992,0.610031582926057
1993,0.800530051711579
1994,0.623884992434231
1995,0.761702918864543
1996,0.591951184637912
1997,0.768920116628396
1998,0.514732248106549
1999,0.707290470354851
2000,0.556481761918358
2001,0.577619113827324
2002,0.827287787587443
2003,0.657124327797132
2004,0.52091096890324
2005,0.412156424783234
2006,0.241614226352171
2007,0.359079115684332
2008,0.630535688314679
2009,0.501674381092809
2010,0.363142513341629
2011,0.467905436449776
2012,0.351036458148436
2013,0.391875367829109
2014,0.344312452521671
2015,0.423997409602123
2016,0.241110457468777
2017,0.224723451047619
2018,0.285747567790062
2019,0.274204757990422
2020,0.190004315277338
