year,count
1838,1
1876,1
1878,1
1879,1
1880,2
1881,1
1882,3
1883,1
1884,1
1885,2
1886,2
1888,2
1889,1
1892,2
1893,2
1894,4
1895,5
1896,2
1897,2
1898,7
1899,2
1900,2
1901,1
1902,5
1903,1
1904,4
1905,5
1906,2
1907,6
1908,5
1909,4
1910,2
1911,1
1912,12
1913,11
1914,8
1915,9
1916,13
1917,11
1918,4
1919,6
1920,4
1921,10
1922,4
1923,6
1924,6
1925,6
1926,5
1927,6
1928,4
1929,5
1930,7
1931,6
1932,6
1933,3
1934,2
1935,3
1936,4
1937,5
1938,7
1939,2
1940,1
1941,1
1942,1
1943,2
1944,1
1945,1
1946,1
1947,2
1948,3
1949,2
1950,2
1952,1
1953,1
1955,1
1957,2
1959,1
1962,1
1963,1
1969,1
1970,1
1972,1
1973,1
1974,2
1975,1
1976,2
1978,2
1979,5
1980,2
1981,4
1982,4
1984,3
1985,12
1986,7
1987,13
1988,18
1989,18
1990,33
1991,18
1992,21
1993,22
1994,17
1995,24
1996,18
1997,29
1998,14
1999,21
2000,19
2001,21
2002,25
2003,21
2004,20
2005,13
2006,12
2007,24
2008,25
2009,18
2010,16
2011,27
2012,21
2013,18
2014,18
2015,26
2016,14
2017,12
2018,15
2019,20
2020,18
