year,sum,community
1970,0.00457997988666812,9
1971,0.00909728645248431,9
1972,0.00286487894927864,9
1973,0.00494709281849802,9
1974,0.00861424326619656,9
1975,0.0219397453310088,9
1976,0.00406573995443887,9
1977,0.00801333042493201,9
1978,0.0314068246209611,9
1979,0.00901610273009789,9
1980,0.0229078748049448,9
1981,0.0202954218668213,9
1982,0.0114228489588215,9
1983,0.00992842120188783,9
1984,0.0132287037568417,9
1985,0.0184894981546372,9
1986,0.0173868178939723,9
1987,0.0209200073841359,9
1988,0.0184167301374384,9
1989,0.0266100904560358,9
1990,0.0312304534445153,9
1991,0.0389451259563034,9
1992,0.027338059455328,9
1993,0.0380051290754354,9
1994,0.038113948022439,9
1995,0.0395097931208987,9
1996,0.0768837830966262,9
1997,0.0479375247277873,9
1998,0.0431292363379782,9
1999,0.0511095943337629,9
2000,0.0455195332652548,9
2001,0.0713038728189746,9
2002,0.0810014878339518,9
2003,0.109204483056636,9
2004,0.105651758484764,9
2005,0.115820545144109,9
2006,0.0999673564852405,9
2007,0.10738078679249,9
2008,0.118120755496638,9
2009,0.114264257109089,9
2010,0.148399720115083,9
2011,0.102627099652543,9
2012,0.121937753222125,9
2013,0.1201988757733,9
2014,0.0929031729107258,9
2015,0.0752572930303395,9
2016,0.0837246007167895,9
2017,0.0986289516147955,9
2018,0.0551439988924993,9
2019,0.0583444248246024,9
2020,0.0271814853129796,9
1970,0.00803318092778775,99
1971,0.00624552290338049,99
1972,0.00547114973501493,99
1973,0.0130886125670569,99
1974,0.0127682303023869,99
1975,0.00897567717017712,99
1976,0.00925681631090924,99
1977,0.0079117888548515,99
1978,0.0182559326114452,99
1979,0.0118266525680658,99
1980,0.0314143663761816,99
1981,0.0200223432335892,99
1982,0.0169543889824228,99
1983,0.0276150687449292,99
1984,0.0304001935835877,99
1985,0.0611335606619972,99
1986,0.0335351028631061,99
1987,0.0371543578995854,99
1988,0.0307861541668544,99
1989,0.0636142285449811,99
1990,0.0752180827569111,99
1991,0.0600041545211316,99
1992,0.073346688777273,99
1993,0.0826811160936079,99
1994,0.0849769512846688,99
1995,0.0834207628240993,99
1996,0.0668022042500733,99
1997,0.105641309222464,99
1998,0.102359724234879,99
1999,0.13633497431076,99
2000,0.153343604842266,99
2001,0.1984147432859,99
2002,0.194618734060726,99
2003,0.235129846787769,99
2004,0.254542867038561,99
2005,0.361100358804487,99
2006,0.316417837004085,99
2007,0.320390002619105,99
2008,0.344802328987932,99
2009,0.316691590219219,99
2010,0.403645329683254,99
2011,0.380352852707807,99
2012,0.360616025574063,99
2013,0.365328104865892,99
2014,0.457483813193642,99
2015,0.451063087583971,99
2016,0.385765983998361,99
2017,0.404891706862749,99
2018,0.293026064461877,99
2019,0.332914392972246,99
2020,0.238811300476314,99
2021,0.01110354205443,99
1970,0.00737480751180549,226
1971,0.0133525194841127,226
1972,0.0244907588966169,226
1973,0.0121782781484074,226
1974,0.0239226521694304,226
1975,0.0344623232480182,226
1976,0.0156762448186055,226
1977,0.00749808837059856,226
1978,0.0303268092527498,226
1979,0.0185031935830717,226
1980,0.0181701646531865,226
1981,0.0468883761172969,226
1982,0.0976547963280512,226
1983,0.119218930810582,226
1984,0.147832338660351,226
1985,0.491618511358347,226
1986,0.652448110967764,226
1987,0.486637082819779,226
1988,0.533807852139986,226
1989,0.579344783350908,226
1990,0.607732115775478,226
1991,0.472177389973821,226
