year,count
1838,1
1876,1
1877,2
1878,1
1879,4
1880,2
1881,3
1882,4
1883,3
1884,5
1885,4
1886,6
1887,1
1888,5
1889,4
1890,3
1891,7
1892,3
1893,5
1894,7
1895,8
1896,12
1897,9
1898,20
1899,9
1900,12
1901,9
1902,14
1903,17
1904,13
1905,22
1906,7
1907,14
1908,19
1909,12
1910,15
1911,8
1912,24
1913,23
1914,22
1915,28
1916,24
1917,34
1918,15
1919,19
1920,22
1921,25
1922,19
1923,21
1924,17
1925,18
1926,19
1927,21
1928,16
1929,15
1930,19
1931,22
1932,20
1933,18
1934,17
1935,11
1936,17
1937,21
1938,20
1939,9
1940,18
1941,9
1942,6
1943,12
1944,6
1945,5
1946,3
1947,10
1948,10
1949,7
1950,9
1951,3
1952,4
1953,7
1954,1
1955,5
1956,5
1957,2
1958,1
1959,2
1960,2
1961,7
1962,2
1963,2
1965,2
1966,1
1967,2
1968,2
1969,1
1970,2
1971,2
1972,2
1974,1
