court,year,count
scc,1877,18
scc,1878,21
scc,1879,34
scc,1880,22
scc,1881,28
scc,1882,22
scc,1883,37
scc,1884,34
scc,1885,45
scc,1886,58
scc,1887,44
scc,1888,43
scc,1889,55
scc,1890,47
scc,1891,71
scc,1892,93
scc,1893,54
scc,1894,70
scc,1895,106
scc,1896,70
scc,1897,80
scc,1898,72
scc,1899,70
scc,1900,66
scc,1901,64
scc,1902,79
scc,1903,70
scc,1904,72
scc,1905,82
scc,1906,72
scc,1907,82
scc,1908,77
scc,1909,65
scc,1910,66
scc,1911,63
scc,1912,75
scc,1913,85
scc,1914,80
scc,1915,98
scc,1916,113
scc,1917,109
scc,1918,119
scc,1919,105
scc,1920,95
scc,1921,91
scc,1922,78
scc,1923,60
scc,1924,74
scc,1925,83
scc,1926,76
scc,1927,99
scc,1928,98
scc,1929,90
scc,1930,83
scc,1931,86
scc,1932,72
scc,1933,85
scc,1934,84
scc,1935,56
scc,1936,55
scc,1937,61
scc,1938,52
scc,1939,51
scc,1940,68
scc,1941,60
scc,1942,48
scc,1943,64
scc,1944,60
scc,1945,50
scc,1946,50
scc,1947,43
scc,1948,54
scc,1949,65
scc,1950,58
scc,1951,53
scc,1952,60
scc,1953,72
scc,1954,71
scc,1955,83
scc,1956,87
scc,1957,75
scc,1958,77
scc,1959,95
scc,1960,83
scc,1961,92
scc,1962,90
scc,1963,100
scc,1964,84
scc,1965,81
scc,1966,73
scc,1967,96
scc,1968,113
scc,1969,91
scc,1970,112
scc,1971,121
scc,1972,112
scc,1973,126
scc,1974,132
scc,1975,125
scc,1976,118
scc,1977,128
scc,1978,118
scc,1979,140
scc,1980,112
scc,1981,111
scc,1982,125
scc,1983,91
scc,1984,63
scc,1985,88
scc,1986,79
scc,1987,98
scc,1988,107
scc,1989,133
scc,1990,143
scc,1991,108
scc,1992,109
scc,1993,138
scc,1994,112
scc,1995,108
scc,1996,121
scc,1997,113
scc,1998,91
scc,1999,81
scc,2000,69
scc,2001,94
scc,2002,86
scc,2003,76
scc,2004,83
scc,2005,86
scc,2006,59
scc,2007,54
scc,2008,73
scc,2009,62
scc,2010,67
scc,2011,66
scc,2012,75
scc,2013,75
scc,2014,78
scc,2015,69
scc,2016,57
scc,2017,65
scc,2018,60
scc,2019,68
scc,2020,47
