src_year,diff
1879,3.0
1880,1.5
1881,1.75
1882,1.0
1883,2.77777777777778
1884,2.7
1885,2.92307692307692
1886,3.65
1887,4.36842105263158
1888,4.92307692307692
1889,6.29166666666667
1890,6.94117647058824
1891,5.5
1892,5.53658536585366
1893,5.83333333333333
1894,6.7
1895,5.53061224489796
1896,7.36585365853659
1897,6.53061224489796
1898,5.90243902439024
1899,7.61290322580645
1900,7.25641025641026
1901,5.35135135135135
1902,8.7906976744186
1903,9.41463414634146
1904,9.04081632653061
1905,8.88235294117647
1906,6.58620689655172
1907,8.42553191489362
1908,8.63157894736842
1909,9.375
1910,7.82857142857143
1911,6.625
1912,10.5609756097561
1913,9.86206896551724
1914,6.71698113207547
1915,7.19402985074627
1916,7.07954545454545
1917,5.25925925925926
1918,6.39583333333333
1919,5.06521739130435
1920,5.50724637681159
1921,7.36619718309859
1922,7.86153846153846
1923,6.71111111111111
1924,10.0769230769231
1925,9.61904761904762
1926,8.0625
1927,7.87301587301587
1928,5.55
1929,8.15873015873016
1930,7.50980392156863
1931,11.7142857142857
1932,7.56603773584906
1933,11.7903225806452
1934,11.1
1935,9.925
1936,11.2765957446809
1937,9.5
1938,11.6511627906977
1939,11.3611111111111
1940,9.16981132075472
1941,8.2
1942,9.78048780487805
1943,14.0196078431373
1944,9.74509803921569
1945,16.7608695652174
1946,13.8974358974359
1947,13.875
1948,16.8936170212766
1949,16.7924528301887
1950,17.48
1951,16.5625
1952,17.6428571428571
1953,19.2698412698413
1954,19.7619047619048
1955,13.9701492537313
1956,12.0945945945946
1957,14.0
1958,15.5172413793103
1959,13.9054054054054
1960,14.6849315068493
1961,13.3561643835616
1962,13.5882352941176
1963,13.75
1964,15.0606060606061
1965,15.7166666666667
1966,10.0188679245283
1967,11.9466666666667
1968,14.7311827956989
1969,12.4166666666667
1970,18.6
1971,20.5666666666667
1972,16.2022471910112
1973,14.2970297029703
1974,18.5090909090909
1975,15.1517857142857
1976,16.2264150943396
1977,17.9587628865979
1978,17.6041666666667
1979,16.0
1980,12.936170212766
1981,16.0531914893617
1982,14.1981132075472
1983,11.8589743589744
1984,16.4210526315789
1985,11.7402597402597
1986,13.5294117647059
1987,12.7441860465116
1988,10.8666666666667
1989,7.87394957983193
1990,9.19548872180451
1991,7.81914893617021
1992,9.38775510204082
1993,10.8897637795276
1994,10.2571428571429
1995,11.3232323232323
1996,11.0825688073394
1997,12.9904761904762
1998,8.98837209302326
1999,11.7012987012987
2000,16.8333333333333
2001,11.6813186813187
2002,10.2470588235294
2003,11.9066666666667
2004,16.5925925925926
2005,13.7790697674419
2006,10.8305084745763
2007,15.7962962962963
2008,11.7042253521127
2009,17.8387096774194
2010,13.9701492537313
2011,12.9545454545455
2012,13.4864864864865
2013,11.9466666666667
2014,13.8831168831169
2015,10.9117647058824
2016,10.9464285714286
2017,13.203125
2018,12.5593220338983
2019,13.1044776119403
2020,10.468085106383
