court,count
abpc,11
bchrt,1
bcpc,1
cart,1
chrt,1
cmac,2
mbca,16
mbpc,1
mbqb,5
nbca,6
nlca,3
nlsctd,1
nsca,16
nssc,1
ntca,2
oncj,5
onhrt,1
onscdc,10
pescad,1
qcca,9
qccq,1
qccs,6
skca,19
skqb,5
ukjcpc,1
yksc,1
