year,sum,community
1979,2.3388447962501e-06,262
2006,0.000573979988338083,262
2007,5.0984454093466e-05,262
2008,0.00151679478806895,262
2010,4.12815019839899e-05,262
2011,0.000252643613642442,262
2012,0.0014513339515106,262
2013,0.00219434761938451,262
2014,0.00790979257294804,262
2015,0.00436294199369063,262
2016,0.0123656802017309,262
2017,0.0166173173663819,262
2018,0.0118767933023569,262
2019,0.00638270659887815,262
2020,0.00425869927813244,262
1838,0.00429664873218919,411
1877,0.000839031951641697,411
1882,4.45382841607746e-05,411
1883,6.70076699829572e-07,411
1888,0.000496859366417946,411
1890,0.000546930280075636,411
1891,4.69042677633682e-07,411
1892,1.29997232712752e-05,411
1893,0.00493799297401673,411
1894,0.00028446245879714,411
1895,2.69184025207447e-05,411
1896,5.84932277483096e-05,411
1897,8.94555395636746e-05,411
1898,0.00103679886220876,411
1899,0.000477518603205758,411
1900,0.000477487677784287,411
1901,0.000689479299425303,411
1902,0.000780043520201268,411
1903,0.00247207009027185,411
1904,0.000859849756991757,411
1905,0.000546958415999709,411
1906,0.000455394568000638,411
1907,0.000276431524006823,411
1908,0.00123797280635114,411
1909,0.000373961903820121,411
1910,0.000254247576979324,411
1911,0.00142160719649686,411
1912,0.000753129111776899,411
1913,0.000457532443128826,411
1914,0.00138123853000781,411
1915,0.000529135958729946,411
1916,0.00187125153002883,411
1917,0.000312316226539741,411
1918,0.000368450190377467,411
1919,0.000737032638953789,411
1920,0.00123140058140491,411
1921,0.0014899840277309,411
1922,0.00297276536303245,411
1923,0.00112162248605937,411
1924,0.000230277845501041,411
1925,0.000621034785939083,411
1926,0.00228132595604312,411
1927,0.00261879492892142,411
1928,0.00131608034422474,411
1929,0.000631245206497461,411
1930,0.00201114572479596,411
1931,0.00480609493561218,411
1932,0.00343820192265269,411
1933,0.00422314603898073,411
1934,0.0035142041374045,411
1935,0.00158465737705818,411
1936,0.00252189641896886,411
1937,0.000697853717116932,411
1938,0.00726315343694405,411
1939,0.00318282316538843,411
1940,0.00336412962003045,411
1941,0.00457090690610361,411
1942,0.00259637893778846,411
1943,0.00328858131227049,411
1944,0.00318037059331628,411
1945,0.00460724022442285,411
1946,0.00644943098897492,411
1947,0.0119041519343091,411
1948,0.00745577348630654,411
1949,0.013857593141755,411
1950,0.0064389149582942,411
1951,0.00911578268247514,411
1952,0.00729811781915899,411
1953,0.00471188018381271,411
1954,0.0131219282011399,411
1955,0.00612014473506513,411
1956,0.0124929666011459,411
1957,0.00826613963759654,411
1958,0.00371386725993471,411
1959,0.00382999527256735,411
1960,0.00605447361028984,411
1961,0.00393970077871871,411
1962,0.00544525104451849,411
1963,0.0078710734210177,411
1964,0.0121097577179796,411
1965,0.0135004279459821,411
1966,0.0119943759719244,411
1967,0.0101573950318787,411
1968,0.0132227724964669,411
1969,0.014498209850104,411
1970,0.0296950239905717,411
1971,0.0125797632343156,411
1972,0.0127494859900868,411
1973,0.026804196073635,411
1974,0.0503398681454812,411
1975,0.0405534530859243,411
1976,0.0407717081524722,411
1977,0.0521334793047028,411
1978,0.0580278924528714,411
1979,0.0856982665415049,411
1980,0.0428216469248832,411
1981,0.0476955921077332,411
1982,0.0910499678773984,411
1983,0.0456151002401202,411
1984,0.0550476399567339,411
1985,0.0605475619187033,411
1986,0.0741421532540794,411
1987,0.122323573339892,411
1988,0.122218370622933,411
1989,0.102424702129773,411
1990,0.186665691468618,411
1991,0.237357692286146,411
1992,0.218055107332375,411
1993,0.320143642209156,411
1994,0.30482803720374,411
1995,0.24699011600379,411
1996,0.28333025042969,411
1997,0.253930620580447,411
1998,0.284801267542542,411
1999,0.233874954750642,411
2000,0.326296767159059,411
2001,0.303608384550311,411
2002,0.331928345264988,411
2003,0.269535756114982,411
2004,0.3342971836173,411
2005,0.342044352495216,411
2006,0.329797372663406,411
2007,0.392979525780136,411
2008,0.429486939617413,411
2009,0.390208547097729,411
2010,0.467193161249363,411
2011,0.438777461736583,411
2012,0.559078206979906,411
2013,0.542190644725104,411
2014,0.464783743223148,411
2015,0.52117989816533,411
2016,0.488842781988794,411
2017,0.456283364194545,411
2018,0.433198395652882,411
2019,0.447057065968624,411
2020,0.423652715683176,411
2021,0.0218220482164585,411
1879,0.000873410033942108,536
1884,1.20333490040948e-07,536
1885,3.03438670503273e-07,536
1889,1.288740217105e-06,536
1891,6.87429315724482e-08,536
1893,2.0250767988562e-07,536
1896,0.000177008241411665,536
1897,1.43467508684446e-06,536
1899,5.54658745607137e-06,536
1900,1.47269340608658e-06,536
1903,5.67929646694186e-07,536
1906,5.59651208731744e-07,536
1907,4.12719365804977e-05,536
1909,3.52520514268178e-08,536
1910,1.4792194865738e-05,536
1911,7.14328391814587e-06,536
1912,2.1975335268866e-05,536
1913,8.12341257870117e-05,536
1914,1.13467827044699e-05,536
1915,1.49322182876849e-05,536
1916,0.000136164874734436,536
1917,9.44152056601564e-05,536
1918,0.000186454588300376,536
1919,2.76113737052357e-05,536
1920,3.67946318019711e-05,536
1921,0.000111251721643745,536
1922,7.93034846044713e-05,536
1923,6.84607634601681e-05,536
1924,3.58564182689238e-05,536
1925,0.000448051919095684,536
1926,0.000296380995089826,536
1927,3.05010119827349e-05,536
1928,0.000353263410353632,536
1929,7.02898956853929e-05,536
1930,5.35262275231316e-05,536
1931,0.000147623743292273,536
1932,0.000143840415332619,536
1933,0.000375209586323808,536
1934,0.00115440059917175,536
1935,5.92483492287438e-05,536
1936,4.36652611019775e-05,536
1937,0.000400853601411635,536
1938,1.54286879974501e-05,536
1939,2.20730973538474e-05,536
1940,2.86497895842176e-05,536
1941,7.68608254458859e-05,536
1942,5.51218268603544e-05,536
1943,0.000184851437656507,536
1944,0.000102583398154331,536
1945,0.000130349467301321,536
1946,0.000728153244130351,536
1947,0.000281438157789769,536
1948,0.000238413504944788,536
1949,0.000252977731944526,536
1950,0.000761591103012852,536
1951,0.000682671954879379,536
1952,0.000441349596186524,536
1953,0.000251802358228554,536
1954,0.000582661545373318,536
1955,0.000854205325020968,536
1956,0.000969415064271069,536
1957,0.00375440648196027,536
1958,0.000191146796442243,536
1959,0.000325018136120743,536
1960,0.000371456585303524,536
1961,0.000435888445417448,536
1962,0.000430003134415393,536
1963,0.000338861719961577,536
1964,0.000242670371801036,536
1965,0.000139982940092737,536
1966,0.000177939192745355,536
1967,0.000146601186940433,536
1968,0.000547790833849478,536
1969,0.00110201905842256,536
1970,0.00308192641867438,536
1971,0.00104890297306452,536
1972,0.00259434041251108,536
1973,0.00518066140391992,536
1974,0.00336750270727501,536
1975,0.00381960177680928,536
1976,0.00315233180337374,536
1977,0.00241200390884111,536
1978,0.00404147479943386,536
1979,0.00590481206679359,536
1980,0.00567728316108423,536
1981,0.00751729092033589,536
1982,0.00412885967907801,536
1983,0.00822678519508258,536
1984,0.00580072236385684,536
1985,0.0113222138086532,536
1986,0.00660288445106884,536
1987,0.0195964815402317,536
1988,0.0160892351532833,536
1989,0.0210232558884327,536
1990,0.016836769598937,536
1991,0.0117836684107094,536
1992,0.0312932586171148,536
1993,0.0508572617512749,536
1994,0.050334827226723,536
1995,0.0370589981363121,536
1996,0.037240340188093,536
1997,0.0353814492234895,536
1998,0.0325579182920617,536
1999,0.0636946182369347,536
2000,0.0512504874161259,536
2001,0.0736192980046886,536
2002,0.0583871271402459,536
2003,0.0877529028670253,536
2004,0.0647838286425584,536
2005,0.0934397981355967,536
2006,0.0987887908231006,536
2007,0.0765342656150222,536
2008,0.0896107882384973,536
2009,0.109009211538817,536
2010,0.0990620581644637,536
2011,0.127863402052332,536
2012,0.140514660064467,536
2013,0.10323980403016,536
2014,0.135340740844584,536
2015,0.121515783104644,536
2016,0.133711997104121,536
2017,0.112033970871348,536
2018,0.115877452102461,536
2019,0.115824978164207,536
2020,0.0973008502298983,536
2021,0.00345057613418323,536
1972,0.000112608016153622,663
1973,0.000122528183558237,663
1975,3.05209071712098e-07,663
1988,7.70244724257484e-06,663
1989,1.36146261997909e-08,663
1991,3.23003775689932e-06,663
1993,3.05209071712098e-07,663
1994,2.74177470342364e-05,663
1996,2.55361244144641e-06,663
1999,1.86387221403419e-06,663
2000,1.98584219605455e-05,663
2002,2.23897065775764e-07,663
2003,4.58400706185429e-05,663
2004,1.57191420294944e-06,663
2005,1.48436681776381e-05,663
2006,2.32375432413852e-07,663
2007,1.99941212715457e-06,663
2008,1.47518688248132e-06,663
2009,2.56022881892558e-05,663
2010,3.03981458399771e-05,663
2011,3.89491851438507e-05,663
2012,2.9137982992603e-05,663
2013,5.35621450308778e-07,663
2014,1.58817055593762e-06,663
2015,1.94050861170102e-06,663
2016,5.12283209402651e-05,663
2017,5.68250023012353e-05,663
2018,0.000160545097512965,663
2019,0.000591079849642489,663
2020,1.15046951189267e-05,663
1884,3.82479820726701e-06,676
1885,4.66364860658477e-12,676
1886,0.000117537919639082,676
1888,4.17942732249012e-10,676
1889,1.61817659294441e-08,676
1890,4.64241254190392e-07,676
1891,2.07392906499996e-07,676
1892,2.06245403430491e-06,676
1893,2.14826565904836e-08,676
1894,1.66524573258296e-09,676
1895,5.8588342280161e-09,676
1898,5.25282014721986e-07,676
1903,7.49871578689941e-07,676
1904,2.31236415360048e-05,676
1905,4.2674194437736e-05,676
1906,9.42717445479367e-08,676
1907,0.000400604770306919,676
1908,4.51910303044495e-06,676
1909,2.77709214485377e-05,676
1910,1.22225220103311e-05,676
1911,1.33166478449782e-07,676
1912,0.000522954458567005,676
1913,3.66935290267206e-05,676
1914,2.11232162447327e-05,676
1915,3.90112503737212e-05,676
1916,4.45695386644456e-05,676
1917,5.98152528057407e-06,676
1918,7.40121502181764e-05,676
1919,7.048242831672e-05,676
1920,0.000494561374331007,676
1921,0.000610653911469242,676
1922,0.000348571618176357,676
1923,7.27884269133342e-05,676
1924,4.07335732511104e-05,676
1925,0.000338705342491213,676
1926,0.000100497480364535,676
1927,0.000193333054882748,676
1928,0.000100717363669175,676
1929,6.38296658093878e-06,676
1930,0.000162274844820692,676
1931,1.36116044628579e-05,676
1932,0.000151401098896452,676
1933,0.000126709478571353,676
1934,2.40076821699863e-05,676
1935,5.94891523121242e-05,676
1936,3.98019077166268e-05,676
1937,9.24713707450162e-05,676
1938,1.26031829438557e-05,676
1939,0.000455141447734223,676
1940,5.20208443519337e-05,676
1941,2.73631113358972e-05,676
1942,2.78926664552234e-05,676
1943,9.55100608235057e-06,676
1944,1.26706063084195e-06,676
1945,4.26684743826664e-05,676
1946,1.71951510500235e-05,676
1947,5.83835693271094e-05,676
1948,9.10776271869203e-06,676
1949,2.04916880824791e-05,676
1950,5.36074394038677e-05,676
