src_year,count
1879,3.0
1880,2.5
1881,1.0
1882,1.0
1883,1.11111111111111
1884,1.0
1885,1.46153846153846
1886,1.35
1887,1.4
1888,1.53846153846154
1889,1.83333333333333
1890,1.58823529411765
1891,2.05263157894737
1892,2.02380952380952
1893,1.66666666666667
1894,2.23333333333333
1895,1.93877551020408
1896,2.70731707317073
1897,3.14285714285714
1898,3.07142857142857
1899,2.80645161290323
1900,3.07692307692308
1901,3.05405405405405
1902,3.06976744186047
1903,5.24390243902439
1904,2.87755102040816
1905,3.76470588235294
1906,3.55172413793103
1907,2.72340425531915
1908,2.94736842105263
1909,2.825
1910,2.55555555555556
1911,1.8
1912,2.97560975609756
1913,2.67241379310345
1914,2.61111111111111
1915,2.59701492537313
1916,3.38636363636364
1917,3.08641975308642
1918,3.29166666666667
1919,3.22826086956522
1920,2.7536231884058
1921,2.49295774647887
1922,2.67692307692308
1923,3.35555555555556
1924,2.5
1925,2.28571428571429
1926,2.91666666666667
1927,2.0
1928,2.23333333333333
1929,2.76190476190476
1930,2.56862745098039
1931,2.41071428571429
1932,3.73584905660377
1933,3.03174603174603
1934,2.52857142857143
1935,2.35
1936,3.68085106382979
1937,2.59615384615385
1938,2.97674418604651
1939,2.16666666666667
1940,2.92452830188679
1941,4.46
1942,3.29268292682927
1943,3.09803921568627
1944,3.29411764705882
1945,6.34782608695652
1946,4.20512820512821
1947,4.95
1948,5.27659574468085
1949,3.75471698113208
1950,5.44
1951,6.66666666666667
1952,5.71428571428571
1953,4.17460317460317
1954,4.3125
1955,4.3134328358209
1956,3.12162162162162
1957,3.74193548387097
1958,3.89655172413793
1959,2.74324324324324
1960,4.0
1961,3.82191780821918
1962,2.66176470588235
1963,3.28048780487805
1964,3.46969696969697
1965,3.58333333333333
1966,2.9811320754717
1967,3.02666666666667
1968,3.93548387096774
1969,3.94444444444444
1970,3.54117647058824
1971,3.78888888888889
1972,3.8314606741573
1973,4.03960396039604
1974,4.24545454545455
1975,5.64285714285714
1976,5.83018867924528
1977,6.03092783505155
1978,7.58333333333333
1979,6.96581196581197
1980,6.04210526315789
1981,5.08421052631579
1982,6.33018867924528
1983,7.75641025641026
1984,8.63157894736842
1985,9.28571428571429
1986,11.4411764705882
1987,9.66279069767442
1988,11.4888888888889
1989,10.1680672268908
1990,11.9398496240601
1991,9.79787234042553
1992,12.0
1993,13.2125984251969
1994,13.2190476190476
1995,15.7171717171717
1996,14.3577981651376
1997,14.4285714285714
1998,12.1744186046512
1999,16.4415584415584
2000,18.1515151515152
2001,18.6923076923077
2002,20.9058823529412
2003,17.4133333333333
2004,15.4567901234568
2005,15.7790697674419
2006,16.3220338983051
2007,20.5
2008,15.5070422535211
2009,19.0645161290323
2010,18.5223880597015
2011,17.2424242424242
2012,16.3918918918919
2013,18.12
2014,15.8051948051948
2015,24.2352941176471
2016,20.6607142857143
2017,19.328125
2018,23.8305084745763
2019,32.134328358209
2020,36.468085106383
