year,count
1929,1
1938,1
1948,1
1953,1
1957,1
1959,1
1970,1
1973,1
1974,3
1975,1
1976,2
1978,3
1979,5
1980,2
1981,4
1982,5
1983,1
1984,5
1985,13
1986,9
1987,17
1988,19
1989,21
1990,39
1991,24
1992,26
1993,26
1994,23
1995,30
1996,24
1997,35
1998,19
1999,27
2000,25
2001,31
2002,35
2003,30
2004,33
2005,20
2006,18
2007,32
2008,33
2009,26
2010,32
2011,39
2012,30
2013,23
2014,35
2015,40
2016,25
2017,21
2018,28
2019,29
2020,24
