name,year,importance,community
"Dunsmuir v. New Brunswick",2008,0.25210712593799,1144
"Hunter et al. v. Southam Inc.",1984,0.140802641456021,638
"R. v. Oakes",1986,0.14036347788045,226
"Housen v. Nikolaisen",2002,0.131360549483754,1144
"R. v. Collins",1987,0.121080475443963,638
"Baker v. Canada (Minister of Citizenship and Immigration)",1999,0.120078909244161,1144
"R. v. Big M Drug Mart Ltd.",1985,0.106819964863864,226
"Canada (Citizenship and Immigration) v. Khosa",2009,0.091619326947786,1144
"Re B.C. Motor Vehicle Act",1985,0.0913606201756284,226
"R. v. Grant",2009,0.0786364536330909,638
"Rizzo & Rizzo Shoes Ltd. (Re)",1998,0.0767144542012018,1144
"Irwin Toy Ltd. v. Quebec (Attorney General)",1989,0.0743353056336584,226
"Andrews v. Law Society of British Columbia",1989,0.0708523303762757,226
"R. v. Edwards Books and Art Ltd.",1986,0.0689854347177251,226
"R. v. Stillman",1997,0.0677301557439675,638
"Dr. Q. v. College of Physicians and Surgeons of British Columbia",2003,0.0653891719486117,1144
"R. v. O'Connor",1995,0.0653583391027551,816
"R. v. M. (C.A.)",1996,0.0645137859235412,666
"RJR-MacDonald Inc. v. Canada (Attorney General)",1995,0.0621848436462859,226
"R. v. Lyons",1987,0.0600806232190258,666
"Pushpanathan v. Canada (Minister of Citizenship and Immigration)",1998,0.0599126200553435,1144
"Newfoundland and Labrador Nurses' Union v. Newfoundland and Labrador (Treasury Board)",2011,0.0584601312248049,1144
"Alberta (Information and Privacy Commissioner) v. Alberta Teachers' Association",2011,0.0574975141408022,1144
"R. v. Morgentaler",1988,0.0574515301168688,226
"R. v. Sharpe",2001,0.0564183745124271,226
"Canada (Director of Investigation and Research) v. Southam Inc.",1997,0.0560397689749811,1144
"Rodriguez v. British Columbia (Attorney General)",1993,0.0556695719302109,226
"Blencoe v. British Columbia (Human Rights Commission)",2000,0.0556283137805099,226
"R. v. Keegstra",1990,0.0554880172176723,226
"R. v. Therens",1985,0.0554763042355132,638
"Thomson Newspapers Ltd. v. Canada (Director of Investigation and Research, Restrictive Trade Practices Commission)",1990,0.0554433475033686,638
"Law Society of New Brunswick v. Ryan",2003,0.0552023479236465,1144
"Schachter v. Canada",1992,0.0548184533580164,226
"Law v. Canada (Minister of Employment and Immigration)",1999,0.0523355850016214,226
"R. v. Garofoli",1990,0.0521470570075321,638
"Bell ExpressVu Limited Partnership v. Rex",2002,0.0515857877126901,1144
"Dagenais v. Canadian Broadcasting Corp.",1994,0.0515355473361157,226
"Eldridge v. British Columbia (Attorney General)",1997,0.0511245939649328,226
"Slaight Communications Inc. v. Davidson",1989,0.0509408490933353,226
"Reference re ss. 193 and 195.1(1)(C) of the criminal code (Man.)",1990,0.0504453934581486,226
"R. v. Seaboyer;  R. v. Gayme",1991,0.0498977603798738,411
"R. v. Mills",1999,0.0498041822953602,816
"Suresh v. Canada (Minister of Citizenship and Immigration)",2002,0.0494890655858197,1144
"R. v. Malmo-Levine; R. v. Caine",2003,0.0492003195071072,226
"R. v. Mann",2004,0.048471305245741,638
"R. v. Buhay",2003,0.0475288369104666,638
"R. v. Swain",1991,0.0468269918921152,226
"Mckinney v. University of Guelph",1990,0.0458085531047722,226
"Toronto (City) v. C.U.P.E., Local 79",2003,0.0457633441790007,1144
"Vriend v. Alberta",1998,0.0452848589146111,226
